tract_geoid,pop2020,frey_votes,opponent_votes,total_votes,n_blocks,year,frey_share,opponent_name
27053111200,3333,750.3092952274278,246.00996937883238,996.31926460626,51,2017,75.3081187809759,Dehn
27053111300,5210,1207.2996755719093,392.56047110002095,1599.8601466719301,82,2017,75.46282580282814,Dehn
27053111400,4014,1009.2200369185302,337.60456409048385,1346.8246010090138,67,2017,74.93329392427513,Dehn
27053111500,5651,941.5135059406728,397.7614257506415,1339.2749316913144,98,2017,70.30024109774644,Dehn
27053111600,3214,604.5952558624252,311.1147818011863,915.710037663612,62,2017,66.02474921046182,Dehn
27053125600,5233,287.80744272969844,345.3265171839683,633.1339599136669,57,2017,45.4575904866868,Dehn
27053125700,3852,108.17362994979706,76.14658312049826,184.32021307029527,41,2017,58.68788243454463,Dehn
27053125800,5208,259.8698911319446,190.22422700695853,450.0941181389033,43,2017,57.73678896460191,Dehn
27053125900,4904,123.50664357862098,227.59874909041596,351.1053926690369,43,2017,35.17651570081188,Dehn
27053126000,5056,394.43074682784817,165.40178405427622,559.8325308821244,49,2017,70.4551316813166,Dehn
27053126101,2746,431.6834041847702,125.42171863424065,557.1051228190108,14,2017,77.48688470147367,Dehn
27053126102,6867,751.4525601945998,241.29255323107623,992.745113425676,76,2017,75.69441038108509,Dehn
27053126201,3153,412.95904880622885,134.0724551155852,547.031503921814,58,2017,75.49090789938346,Dehn
27053126202,4387,764.6013044516358,254.6178336904577,1019.2191381420934,23,2017,75.0183425563816,Dehn
27053126300,2679,138.55323426204825,101.71302702004301,240.26626128209128,74,2017,57.666537749707594,Dehn
27053000101,3351,438.37422508624707,143.80843535039753,582.1826604366445,57,2021,75.29839943317116,Knuth
27053000102,5178,604.7186404817481,229.2385424950907,833.957182976839,87,2021,72.51195299058209,Knuth
27053000300,3264,695.8884607561932,366.97852579829697,1062.8669865544905,48,2021,65.47277030515961,Knuth
27053000601,4760,1012.4368133344509,840.4112269629366,1852.8480402973876,107,2021,54.6421936022315,Knuth
27053000603,2955,644.0682690104351,548.2471793555999,1192.3154483660348,55,2021,54.01827762049673,Knuth
27053001100,2219,456.8124655671478,444.1663723735969,900.9788379407446,28,2021,50.70179745966368,Knuth
27053001700,2482,307.4484541770331,404.9644919585641,712.412946135597,42,2021,43.15593306448911,Knuth
27053002200,1695,106.53545275382353,35.91572503731589,142.45117779113943,29,2021,74.78734427175098,Knuth
27053002400,2746,349.5605586306783,469.4361207486843,818.9966793793627,45,2021,42.68155994180294,Knuth
27053002700,2816,382.66150584644345,148.27265599111124,530.9341618375546,31,2021,72.07325000939065,Knuth
27053003200,1844,277.02780694731143,114.42215965649235,391.4499666038037,35,2021,70.7696591088736,Knuth
27053003300,2633,189.73520051151246,57.59072973538778,247.32593024690024,35,2021,76.71464141349992,Knuth
27053003801,3085,258.42928501575705,411.95440399134156,670.3836890070986,32,2021,38.54945895215845,Knuth
27053003802,3462,68.5492933900198,177.1718717519017,245.7211651419215,21,2021,27.897187183866595,Knuth
27053005901,3069,291.2907109667462,127.0166219754337,418.3073329421799,37,2021,69.63557366253714,Knuth
27053005902,3619,173.37475893490827,93.72274947854493,267.0975084134533,36,2021,64.91066126552293,Knuth
27053006800,4211,309.90730034812805,674.025257185498,983.9325575336261,23,2021,31.496803106602854,Knuth
27053007700,5710,497.4413445138452,763.9273786671984,1261.3687231810438,28,2021,39.43663223703127,Knuth
27053007801,1972,125.50369728855019,245.3092725271974,370.8129698157477,17,2021,33.845552206793464,Knuth
27053008100,3497,562.5254203361136,741.9241857751438,1304.4496061112575,31,2021,43.12358390088205,Knuth
27053008200,4277,364.8542600060213,479.84473199509375,844.6989920011151,28,2021,43.19340539778218,Knuth
27053008300,2106,164.76756713152446,241.54788912109044,406.31545625261487,29,2021,40.55163656611798,Knuth
27053008400,2896,183.7281336667524,256.69507593361504,440.4232096003676,28,2021,41.7162696383472,Knuth
27053008500,4069,326.00321859289016,774.8530311063685,1100.8562496992588,36,2021,29.613604744665846,Knuth
27053009500,2865,282.97348537605944,357.5841641205943,640.5576494966538,30,2021,44.176115233097015,Knuth
27053009600,3321,477.3037110308969,771.76702795949,1249.0707389903869,42,2021,38.21270454359514,Knuth
27053010600,2844,983.4900514040507,391.0833170489037,1374.5733684529541,49,2021,71.54874915923496,Knuth
27053010700,2491,882.9470322869555,394.63580940846333,1277.582841695419,39,2021,69.1107459705109,Knuth
